,Gene.name,First.Protein.Description,Intensity.M_1,Intensity.M_2,Intensity.M_3,Intensity.2D_1,Intensity.2D_2,Intensity.2D_3
317,ALDH1L1,10-formyltetrahydrofolate dehydrogenase,4240000,4750000,4200000,3700000,4570000,3230000
318,ALDH1L1,10-formyltetrahydrofolate dehydrogenase,7580000,7640000,7620000,5380000,7970000,4470000
319,ALDH1L2,Aldehyde dehydrogenase 1 family member L2,0,0,1180000,0,0,0
320,ALDH2,Aldedh domain-containing protein,0,2750000,0,0,0,0
321,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",17900000,24700000,0,2280000,1110000,2290000
322,ALDH3B1,Aldehyde dehydrogenase 3 family member B1,68600000,93600000,66400000,1960000,1730000,1060000
323,ALDH4A1,Multifunctional fusion protein,0,0,0,140000,211000,0
324,ALDH4A1,Multifunctional fusion protein,0,0,0,0,707000,0
325,ALDH4A1,Multifunctional fusion protein,0,0,0,0,0,0
326,ALDH4A1,Uncharacterized protein,0,0,0,0,0,0
327,ALDH4A1,Uncharacterized protein,0,0,0,0,0,0
328,ALDH5A1,Succinate-semialdehyde dehydrogenase,0,0,0,0,0,0
329,ALDH6A1,Aldehyde dehydrogenase 6 family member A1,98000,547000,0,502000,1550000,0
330,ALDH7A1,Aldehyde dehydrogenase (NAD(+)),4050000,4770000,5630000,2760000,2620000,2640000
331,ALDH7A1,Aldehyde dehydrogenase (NAD(+)),2700000,3120000,4360000,1920000,991000,1140000
332,ALDH7A1,Aldehyde dehydrogenase (NAD(+)),239000,401000,0,150000,303000,0
333,ALDH9A1,Aldehyde dehydrogenase 9 family member A1,3340000,3960000,5270000,8280000,6980000,6970000
334,ALDOA,Fructose-bisphosphate aldolase,853000,1660000,65700000,1430000,3630000,4030000
335,ALDOA,Fructose-bisphosphate aldolase,2.50E+07,18200000,1240000,16900000,1.50E+07,12100000
336,ALDOA,Uncharacterized protein,94100000,94100000,1.57E+08,1.37E+08,1.46E+08,1.34E+08
337,ALDOB,Fructose-bisphosphate aldolase,783000,274000,1760000,0,292000,0
338,ALDOB,Fructose-bisphosphate aldolase,2630000,2330000,3160000,4400000,5950000,5130000
339,ALDOC,Fructose-bisphosphate aldolase,17300000,16200000,22800000,34200000,25600000,30600000
340,ALG1,Glycos_transf_1 domain-containing protein,0,0,0,0,94200,0
341,ALG11,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",0,0,0,0,0,0
342,ALG12,"ALG12 alpha-1,6-mannosyltransferase",0,0,0,0,350000,0
343,ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2",0,0,0,0,402000,0
344,ALG3,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase",0,0,0,0,0,0
345,ALG5,Dolichyl-phosphate beta-glucosyltransferase,429000,703000,692000,1810000,2220000,975000
346,ALG6,"Alpha-1,3-glucosyltransferase",0,0,0,0,0,0
347,ALG8,"Alpha-1,3-glucosyltransferase",0,0,0,0,0,0
348,ALG9,Mannosyltransferase,0,0,0,0,0,0
349,ALKBH1,"AlkB homolog 1, histone H2A dioxygenase",0,0,0,0,0,0
350,ALKBH5,RNA demethylase ALKBH5,0,0,0,0,0,0
351,ALKBH6,AlkB homolog 6,0,319000,0,279000,382000,270000
352,ALKBH7,AlkB homolog 7,0,0,0,0,0,0
353,ALKBH8,Uncharacterized protein,0,0,0,0,121000,0
354,ALOX15B,Arachidonate 15-lipoxygenase type B,766000,1450000,0,840000,759000,1220000
355,ALOX5,Arachidonate 5-lipoxygenase,0,0,0,0,0,0
356,ALPL,Alkaline phosphatase,5510000,5610000,8050000,837000,711000,1130000
357,ALS2,Alsin Rho guanine nucleotide exchange factor ALS2,297000,510000,553000,509000,386000,446000
358,ALS2CL,ALS2 C-terminal like,9.00E+05,1220000,791000,0,619000,0
359,ALYREF,Aly/REF export factor,438000,285000,486000,774000,516000,505000
360,AMACR,Solute carrier family 45 member 2,0,0,0,461000,972000,284000
361,AMD1,Adenosylmethionine decarboxylase,0,0,0,0,181000,0
362,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,967000,899000,1580000,1660000,889000,1730000
363,AMFR,Autocrine motility factor receptor,0,0,0,0,0,0
364,AMMECR1L,AMMECR1 like,49600,0,0,0,0,0
365,AMOTL1,Angiomotin like 1,0,0,0,37900,154000,0
366,AMOTL2,Angiomotin like 2,32700,0,0,0,0,0
367,AMPD2,AMP deaminase,1180000,1220000,2630000,6890000,6880000,5120000
368,AMPD3,AMP deaminase,3310000,3880000,3270000,2470000,2330000,1960000
369,ANAPC1,Anaphase promoting complex subunit 1,0,413000,0,0,793000,289000
370,ANAPC4,Anaphase-promoting complex subunit 4,2360000,0,0,531000,769000,0
371,ANAPC5,Anaphase-promoting complex subunit 5,0,1010000,0,78400,402000,0
372,ANAPC7,Anaphase promoting complex subunit 7,121000,208000,380000,544000,678000,358000
373,ANGEL1,Angel homolog 1,0,0,0,0,193000,0
374,ANGEL2,Angel homolog 2,0,0,0,0,0,0
375,ANGPT1,Angiopoietin-1,0,0,0,0,87700,43200
376,ANK1,Ankyrin 1,0,0,0,20600,188000,24900
377,ANK1,Ankyrin 3,843000,1190000,914000,523000,253000,629000
378,ANK1,Ankyrin 3,1080000,1710000,0,634000,656000,488000
379,ANK2,Ankyrin 2,0,0,0,876000,1010000,1210000
380,ANK2,Ankyrin 3,1370000,1530000,0,530000,1040000,584000
381,ANK3,Ankyrin 3,256000,0,0,0,0,0
382,ANK3,Ankyrin 3,3580000,4310000,4460000,1250000,1660000,1280000
383,ANKFY1,Ankyrin repeat and FYVE domain containing 1,5750000,5580000,4780000,9910000,10400000,10600000
384,ANKH,ANKH protein,0,495000,0,10800000,9410000,1.70E+07
385,ANKHD1,Ankyrin repeat and KH domain containing 1,0,263000,0,649000,736000,374000
386,ANKHD1,Ankyrin repeat and KH domain containing 1,0,0,0,0,0,0
387,ANKIB1,RBR-type E3 ubiquitin transferase,1990000,2100000,1470000,2270000,2300000,2460000
388,ANKLE2,Ankyrin repeat and LEM domain containing 2,0,0,0,0,148000,0
389,ANKMY2,Ankyrin repeat and MYND domain containing 2,449000,335000,0,644000,539000,615000
390,ANKRD13A,Ankyrin repeat domain 13A,107000,0,0,0,0,0
391,ANKRD13A,Ankyrin repeat domain 13A,1010000,874000,642000,715000,529000,946000
392,ANKRD13A,Ankyrin repeat domain 13A,142000,0,0,0,0,0
393,ANKRD13A,Ankyrin repeat domain 13D,513000,305000,0,0,0,0
394,ANKRD13D,Ankyrin repeat domain 13D,1280000,959000,901000,1270000,1250000,1530000
395,ANKRD17,Ankyrin repeat domain 17,0,161000,0,147000,444000,343000
396,ANKRD22,Ankyrin repeat domain 22,0,115000,0,0,0,0
397,ANKRD23,Ankyrin repeat domain 23,0,0,0,296000,311000,217000
398,ANKRD27,Ankyrin repeat domain 27,0,0,0,0,346000,0
399,ANKRD28,Ankyrin repeat domain 28,265000,180000,0,346000,517000,233000
400,ANKRD28,Ankyrin repeat domain 28,374000,370000,0,0,422000,0
401,ANKRD31,RAMA domain-containing protein,0,0,0,1640000,582000,0
402,ANKRD40,Ankyrin repeat domain 40,0,0,0,0,334000,0
403,ANKRD44,Ankyrin repeat domain 44,81300,0,0,0,0,0
404,ANKRD46,Sorting nexin 31,0,1100000,0,3460000,3610000,3840000
405,ANKRD49,Ankyrin repeat domain 49,0,0,0,156000,0,0
406,ANKRD50,Ankyrin repeat domain 50,396000,585000,143000,1140000,1340000,1300000
407,ANKRD52,Ankyrin repeat domain 52,0,0,0,356000,381000,0
408,ANKRD55,Ankyrin repeat domain 55,376000,312000,0,0,0,0
409,ANKS1A,Ankyrin repeat and sterile alpha motif domain containing 1A,1140000,1700000,0,1240000,935000,1250000
410,ANKS3,Ankyrin repeat and sterile alpha motif domain containing 3,150000,173000,0,270000,0,0
411,ANKS6,Ankyrin repeat and sterile alpha motif domain containing 6,2030000,2240000,960000,551000,510000,5.00E+05
412,ANKZF1,Ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1,101000,233000,0,319000,481000,0
413,ANLN,Anillin actin binding protein,1900000,1610000,1880000,1110000,1680000,954000
414,ANO10,Anoctamin 10,0,210000,0,1600000,2240000,1120000
415,ANO6,Anoctamin,28300000,4.10E+07,24500000,26900000,28900000,29300000
416,ANO9,Anoctamin,895000,2110000,2080000,0,0,0
417,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,4290000,4290000,9.00E+06,4360000,2990000,3990000
418,ANP32B,Acidic nuclear phosphoprotein 32 family member B,1820000,2190000,0,2990000,2120000,1680000
419,ANP32E,Acidic nuclear phosphoprotein 32 family member E,471000,83900,0,685000,710000,330000
420,ANPEP,Aminopeptidase N,47300,80800,241000,0,0,105000
421,ANTXR1,ANTXR cell adhesion molecule 1,0,0,0,0,85500,0
422,ANTXR2,Anthrax toxin receptor,747000,956000,706000,3210000,2580000,2230000
423,ANXA1,Annexin,7.00E+08,7.71E+08,1.98E+09,9.38E+08,6.10E+08,1.38E+09
424,ANXA10,Annexin A10,5540000,5730000,2050000,1780000,0,0
425,ANXA11,Annexin,93100000,1.10E+08,1.19E+08,89500000,83100000,1.02E+08
426,ANXA11,Annexin,97700000,1.27E+08,0,87600000,74600000,1.15E+08
427,ANXA13,Annexin,12300000,10500000,10800000,0,0,0
428,ANXA13,Annexin A13,3.08E+08,3.03E+08,4.61E+08,8100000,6320000,11300000
429,ANXA2,Annexin A2,9.50E+08,1.32E+09,2.55E+09,2.47E+09,2.22E+09,3.51E+09
430,ANXA3,Annexin,40200000,46100000,81100000,7.00E+06,5840000,10100000
431,ANXA4,Annexin,1.30E+08,1.59E+08,3.64E+08,63100000,66400000,84700000
432,ANXA4,Annexin A4,8.00E+07,95100000,2.14E+08,54600000,4.40E+07,72200000
433,ANXA5,Annexin,1.74E+08,1.67E+08,5.64E+08,3.52E+08,2.96E+08,5.98E+08
434,ANXA6,Annexin,426000,0,1170000,2740000,1820000,4190000
435,ANXA6,Annexin,752000,398000,3040000,11700000,7610000,15900000
436,ANXA6,Annexin,0,0,0,103000,378000,431000
437,ANXA7,Annexin,3.30E+07,36900000,45700000,37100000,34900000,49100000
438,ANXA8L1,Annexin,12900000,1.20E+07,41800000,36500000,27100000,41700000
439,ANXA8L1,Annexin,1.30E+07,13800000,0,35300000,19700000,48900000
440,ANXA8L1,Annexin,72400000,74700000,1.88E+08,82300000,85500000,9.70E+07
441,ANXA8L1,Uncharacterized protein,34500000,25200000,1.05E+08,3.40E+07,28600000,46700000
442,ANXA8L1,Uncharacterized protein,32400000,40500000,490000,23800000,39100000,17100000
443,ANXA9,Annexin,1410000,1790000,785000,729000,560000,485000
444,AOC3,Amine oxidase,0,0,1970000,0,0,0
445,AP1B1,AP complex subunit beta,10200000,10400000,10600000,2.20E+07,24300000,23800000
446,AP1B1,AP complex subunit beta,75300,0,0,0,351000,0
447,AP1B1,AP complex subunit beta,4550000,5100000,5760000,7240000,6400000,7280000
448,AP1B1,AP complex subunit beta,1040000,1260000,0,666000,615000,512000
449,AP1G1,PH domain and leucine rich repeat protein phosphatase 2,2880000,4090000,3170000,6660000,7530000,4970000
450,AP1G2,AP-1 complex subunit gamma,1220000,2220000,1200000,412000,562000,265000
451,AP1M1,AP-1 complex subunit mu-1,1560000,2040000,1660000,5700000,5940000,4990000
452,AP1M1,AP-1 complex subunit mu-2,4300000,5450000,83500000,8010000,7210000,8230000
453,AP1M2,AP-1 complex subunit mu-2,3340000,3410000,3900000,0,0,0
454,AP1S1,AP complex subunit sigma,3610000,3300000,3010000,4210000,4290000,4170000
455,AP1S1,AP complex subunit sigma,1920000,0,1110000,1480000,1680000,1650000
456,AP1S1,AP complex subunit sigma,729000,558000,0,1590000,1420000,1380000
457,AP1S2,AP complex subunit sigma,1970000,0,367000,1860000,2660000,2800000
458,AP2A1,AP-2 complex subunit alpha,3460000,4570000,4430000,13400000,11900000,9580000
459,AP2A1,AP-2 complex subunit alpha,4630000,6240000,5670000,18700000,17400000,1.60E+07
460,AP2A2,Adaptor related protein complex 2 subunit alpha 2,616000,0,0,1160000,1520000,1450000
461,AP2A2,AP-2 complex subunit alpha,0,0,0,1150000,3130000,1570000
462,AP2A2,AP-2 complex subunit alpha,5810000,7610000,6330000,2.10E+07,2.10E+07,21400000
463,AP2B1,AP complex subunit beta,19700000,21700000,1.40E+07,55300000,54200000,45400000
464,AP2M1,AP-2 complex subunit mu,16300000,19100000,18200000,42500000,5.30E+07,41900000
465,AP2S1,AP complex subunit sigma,9290000,11600000,4740000,3.20E+07,30500000,22900000
466,AP3B1,AP-3 complex subunit beta,498000,766000,0,1500000,1590000,985000
467,AP3B1,AP-3 complex subunit beta-1,1880000,2860000,2350000,6130000,6630000,4520000
468,AP3D1,Adaptor related protein complex 3 subunit delta 1,1040000,1860000,892000,3180000,3780000,2330000
469,AP3M1,AP-3 complex subunit mu-1,998000,909000,770000,1720000,2280000,977000
470,AP3M1,AP-3 complex subunit mu-2,586000,641000,0,2240000,2070000,1320000
471,AP3M2,AP-3 complex subunit mu-2,0,0,0,0,498000,165000
472,AP3S1,Adaptor related protein complex 3 subunit sigma 1,915000,341000,74300,560000,1050000,627000
473,AP3S2,Adaptor related protein complex 3 subunit sigma 2,0,0,0,0,318000,0
474,AP4B1,Adaptor related protein complex 4 subunit beta 1,26000,0,0,0,97900,0
475,AP4E1,AP-4 complex subunit epsilon,0,36200,61400,156000,254000,0
476,AP4M1,AP-4 complex subunit mu-1,0,140000,44600,237000,234000,0
477,AP4S1,AP complex subunit sigma,209000,161000,0,0,395000,0
478,AP5B1,AP-5 complex subunit beta-1,0,52100,0,59100,122000,58700
479,AP5M1,AP-5 complex subunit mu-1,123000,186000,0,454000,463000,0
480,AP5Z1,Adaptor related protein complex 5 subunit zeta 1,46200,0,0,42900,215000,0
481,APAF1,Apoptotic protease-activating factor 1,378000,190000,0,662000,741000,463000
482,APAF1,Apoptotic protease-activating factor 1 (Fragment),0,0,0,0,0,0
483,APBA1,Amyloid beta precursor protein binding family A member 1,3690000,5070000,1.40E+07,6450000,3870000,7800000
484,APBA3,Amyloid beta precursor protein binding family A member 3,0,0,0,0,126000,0
485,APBB1,Amyloid beta precursor protein binding family B member 1,0,0,0,106000,448000,0
486,APBB1IP,Amyloid beta protein binding family B member 1 interacting protein,0,0,0,7520000,6780000,8140000
487,APBB1IP,Uncharacterized protein,1370000,1600000,1060000,5100000,5130000,4810000
488,APBB2,Amyloid beta protein binding family B member 2,561000,908000,890000,953000,934000,1490000
489,APBB3,Steroid receptor RNA activator 1,910000,751000,0,267000,1230000,0
490,APC,APC regulator of WNT signaling pathway,1210000,1470000,593000,734000,1060000,1030000
491,APEH,Acylamino-acid-releasing enzyme,2780000,1980000,2460000,2820000,2790000,2290000
492,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,2700000,2230000,5410000,3990000,2750000,3230000
493,APH1A,Anterior pharynx defective 1 homolog A,10900000,17800000,10500000,3860000,3250000,3590000
494,APH1B,"Aph-1 homolog B, gamma-secretase subunit",1110000,1630000,1750000,1280000,1050000,1600000
495,API5,Apoptosis inhibitor 5,462000,320000,0,736000,851000,471000
496,APIP,APAF1 interacting protein,1060000,633000,429000,1010000,957000,837000
497,APIP,Methylthioribulose-1-phosphate dehydratase,1980000,1010000,3380000,1240000,1190000,476000
498,APLP2,Amyloid beta like protein 2,537000,949000,0,1650000,1890000,1420000
499,APMAP,Adipocyte plasma membrane-associated protein,3040000,5170000,3540000,1.20E+07,14300000,12100000
500,APOA1,Apolipoprotein A-I,4010000,3100000,5140000,1330000,1770000,1470000
501,APOA4,Apolipoprotein A-IV,352000,488000,0,0,0,0
502,APOB,Apolipoprotein B,2580000,2710000,5300000,1180000,1920000,2440000
503,APOBEC1,C->U-editing enzyme APOBEC-1,0,115000,0,0,0,0
504,APOBR,Apolipoprotein B receptor,174000,144000,192000,0,0,0
505,APOD,Apolipoprotein D,2010000,1260000,4120000,1810000,1260000,3350000
506,APOH,Beta-2-glycoprotein 1,1950000,890000,70400,4690000,2330000,4360000
507,APOOL,MICOS complex subunit,0,0,0,0,0,0
508,APP,Amyloid-beta A4 protein,0,711000,539000,1210000,1350000,958000
509,APP,Amyloid-beta precursor protein (Fragment),296000,0,0,368000,984000,529000
510,APPBP2,Amyloid beta precursor protein binding protein 2,76400,0,0,221000,279000,0
511,APPL1,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",12200000,9850000,9850000,9540000,8820000,7960000
512,APPL1,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",16600000,15600000,18800000,23800000,24100000,20300000
513,APPL2,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",1060000,0,0,0,1890000,0
514,APPL2,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",5220000,5500000,4500000,5040000,6660000,5170000
515,APPL2,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",1610000,1890000,1620000,1100000,1730000,1250000
516,APRT,Adenine phosphoribosyltransferase,2.00E+07,15600000,1.50E+07,13700000,13900000,9650000
517,APTX,Aprataxin,0,0,0,0,0,0
518,AQR,RNA helicase aquarius,0,0,0,7140000,4430000,2930000
519,ARAF,Non-specific serine/threonine protein kinase,1100000,1780000,1140000,1.10E+07,11500000,10200000
520,ARAF,Non-specific serine/threonine protein kinase,0,0,0,1690000,4930000,1950000
521,ARAF,Non-specific serine/threonine protein kinase,899000,1080000,591000,7980000,9050000,8430000
522,ARAF,Non-specific serine/threonine protein kinase,977000,0,0,5250000,9080000,7780000
523,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",609000,794000,0,645000,830000,731000
524,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",0,0,0,459000,0,0
525,ARAP3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3",1010000,1350000,1.00E+06,1840000,2340000,1720000
526,ARCN1,Coatomer subunit delta,2390000,2390000,8090000,7020000,7100000,3740000
527,AREL1,Apoptosis resistant E3 ubiquitin protein ligase 1,0,0,0,0,0,0
528,ARF1,ADP-ribosylation factor,2040000,1940000,3300000,1310000,627000,2030000
529,ARF1,ADP-ribosylation factor,1.85E+08,2.27E+08,1.60E+07,2.04E+08,1.92E+08,1.39E+08
530,ARF1,ADP-ribosylation factor,1.35E+08,1.55E+08,76400000,6.50E+07,1.20E+08,86100000
531,ARF1,ADP-ribosylation factor,29200000,65600000,0,16900000,34900000,15300000
532,ARF4,ADP-ribosylation factor,96100000,1.15E+08,70400000,80900000,1.45E+08,94800000
533,ARF4,ADP-ribosylation factor,8950000,12400000,9040000,3240000,7330000,4500000
534,ARF5,ADP-ribosylation factor,3480000,3050000,13400000,674000,1100000,739000
535,ARF6,ADP-ribosylation factor 6,1.46E+08,1.72E+08,1.11E+08,1.22E+08,92900000,1.20E+08
536,ARFGAP1,ADP ribosylation factor GTPase activating protein 1,350000,132000,386000,1110000,914000,778000
537,ARFGAP2,ADP ribosylation factor GTPase activating protein 2,9.00E+05,407000,594000,707000,8.00E+05,953000
538,ARFGAP2,ADP ribosylation factor GTPase activating protein 3,346000,206000,0,176000,543000,0
539,ARFGAP3,ADP ribosylation factor GTPase activating protein 3,347000,619000,828000,2120000,1230000,1500000
540,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,713000,726000,1020000,401000,407000,280000
541,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,449000,699000,398000,660000,858000,494000
542,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2,161000,342000,425000,575000,698000,544000
543,ARFGEF3,ARFGEF family member 3,74900,0,0,389000,462000,352000
544,ARFIP1,ADP ribosylation factor interacting protein 1,2110000,1880000,2430000,3050000,3040000,3490000
545,ARFIP2,ADP ribosylation factor interacting protein 2,622000,389000,0,0,310000,0
546,ARFRP1,ADP ribosylation factor related protein 1,318000,493000,0,364000,457000,0
547,ARG1,Arginase,440000,1180000,765000,1280000,898000,1150000
548,ARG2,Arginase,0,0,0,0,220000,0
549,ARHGAP1,Rho GTPase activating protein 1,4660000,6880000,7330000,18600000,12700000,19400000
550,ARHGAP10,Rho GTPase activating protein 10,245000,295000,0,434000,441000,291000
551,ARHGAP12,Rho GTPase activating protein 12,3110000,2790000,2920000,2110000,2050000,2380000
552,ARHGAP17,Rho GTPase activating protein 17,6200000,7320000,3280000,2790000,3240000,2750000
553,ARHGAP18,Rho GTPase activating protein 18,8730000,1.00E+07,8190000,1190000,961000,1170000
554,ARHGAP21,Rho GTPase activating protein 21,30200,151000,0,241000,427000,157000
555,ARHGAP23,Rho GTPase activating protein 23,0,245000,0,296000,991000,314000
556,ARHGAP26,Rho GTPase-activating protein 26,256000,206000,0,0,0,0
557,ARHGAP27,Rho GTPase activating protein 27,19200000,22600000,8980000,793000,555000,653000
558,ARHGAP27,Rho GTPase activating protein 27,24100000,23600000,4770000,486000,479000,713000
559,ARHGAP27,Rho GTPase activating protein 27,11800000,1.30E+07,4820000,270000,0,325000
560,ARHGAP28,Rho GTPase activating protein 28,1790000,2800000,0,3850000,4830000,5350000
561,ARHGAP29,Rho GTPase activating protein 29,522000,528000,514000,34200,206000,0
562,ARHGAP29,Rho GTPase activating protein 29,906000,0,0,0,0,0
563,ARHGAP31,Rho GTPase activating protein 31,115000,481000,0,0,178000,0
564,ARHGAP32,Rho GTPase activating protein 32,452000,490000,591000,375000,449000,470000
